,sq1,sq2,sq3,sq4,sq6,sq7,sq8,sq12,sq13,sq14,sq18,sq20,sq21,sq22,sq23,sq24,sq26,sq27,sq28,sq30,sq31,sq32,sq33,sq34,sq36,sq38,sq39,sq40,sq41,sq42,sq43,sq44,sq45,sq46,sq47,sq48,sq49,sq50,sq51,sq52,sq53,sq54,sq55,sq56,sq57,sq58,sq59,sq60,sq61,sq62,sq64,sq65,sq66,sq67,sq68,sq70,sq71,sq72,sq74,sq75,sq76,sq77,sq78,sq79,sq81,sq82,sq83,sq85,sq87,sq89,sq90,sq91,sq92,sq93,sq95,sq97,sq98,sq99,sq101,sq103
I3B,5361,1157,2268,0,229,407,74,222,0,0,0,0,0,118,0,0,0,74,0,29,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I3C,3041,2892,1504,76,486,315,314,153,100,63,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I3D,3348,45,1483,0,0,379,0,129,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I3E,3446,13,1490,0,0,393,0,154,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I3F,5900,41,2469,46,22,576,0,229,0,0,0,0,0,97,0,0,0,81,0,25,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
I3G,265,27,101,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0
I3H,801,3483,370,75,775,104,323,0,95,175,0,0,0,0,0,0,0,0,0,0,58,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I3I,5129,6519,2134,102,1876,381,537,213,219,343,0,0,0,105,0,0,0,0,0,26,115,96,0,0,38,0,33,0,26,27,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I4A,1222,9766,593,218,1300,94,1054,0,334,183,0,182,0,0,164,0,154,0,0,0,57,63,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
I4B,0,4629,6,1610,660,0,452,0,166,115,0,89,83,0,72,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I4C,0,3808,2,6867,293,0,325,0,112,0,0,76,324,0,0,0,0,0,0,0,0,0,128,23,0,0,0,78,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I4D,0,10294,0,252,1472,0,1119,0,366,211,0,170,0,0,170,0,165,0,0,0,68,0,0,59,0,0,0,0,0,0,0,106,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
