id,Axis.1,Axis.2,Axis.3,Axis.4,Axis.5,Axis.6,Axis.7,Axis.8,Axis.9,Axis.10,Axis.11,Axis.12,Axis.13,Axis.14,Axis.15,Axis.16,Axis.17,Axis.18,Axis.19,Axis.20,Axis.21,Axis.22,Axis.23,Axis.24,Axis.25,Axis.26
O3A,0.382909015,-0.010091043,-0.022150735,-0.04319366,-0.048379595,0.007979302,-0.001937683,0.00390318,-0.018778652,-0.016167342,0.012711245,-0.025682711,-0.007273894,0.001110278,-0.001795448,0.006974801,5.83E-05,0.003618039,-0.00633367,-0.006205799,0.001512205,0.004196192,0.002633031,0.004121089,0.000600784,-0.00025803
O3B,0.097720179,-0.136830378,0.008051169,-0.101096908,-0.098520471,0.077343146,0.064322907,-0.02100263,0.031487774,-0.053661425,-0.037002193,-0.005862527,-0.040361166,-0.010789631,-0.019999338,-0.001201935,-0.009078505,0.001857199,0.000720173,-0.000518986,-0.000415276,0.000242209,0.000587353,0.000324227,-0.000187986,2.78E-05
O3C,0.278300588,-0.06082104,-0.00793854,-0.028742043,-0.001335287,-0.049807191,0.005151036,-0.009921147,-0.013089563,-0.015356258,0.046154329,0.041284514,0.01751877,-0.051957906,0.015099302,0.010000904,0.003909725,-0.001962389,-0.006939554,-0.001733691,0.002056502,0.000467591,0.00015613,-8.81E-05,0.000173268,-2.53E-05
O3D,0.384122374,-0.007693428,-0.007110411,-0.008109318,-0.012619601,0.018453447,-0.006572721,0.013835385,0.00111512,-0.011387986,0.023366946,0.031895572,-0.006488333,-0.001311506,0.007068607,0.003566685,-0.006063182,0.000745697,-0.001498605,-0.00359989,0.012604396,-0.004659517,0.00315695,-0.004251074,0.003023146,0.000658635
O3E,0.02855571,-0.149374678,0.03095882,0.023796048,-0.032836478,0.14452708,0.004714903,-0.01370616,-0.052926083,0.044007109,-0.002096712,0.048565806,0.020563315,-0.011299166,-0.009973812,0.007112174,-0.007586149,-0.008171975,0.002015957,-0.001815485,-0.000236987,-0.000563247,-0.000144463,-0.000573324,0.000114252,-5.43E-06
O3F,0.383253413,-0.011879512,-0.028545252,-0.048223987,-0.05314515,0.020399329,-0.000355035,-0.000858061,-0.015689759,0.012572229,-0.019912568,-0.005874167,-0.00158131,0.01219646,-0.003679983,0.007518414,-0.0007239,0.001798028,0.004102909,0.007711655,0.003462888,0.001138376,-0.004314199,-0.000233829,0.001632381,0.000346634
O3G,0.130143493,-0.1204983,-0.04830919,-0.104506697,-0.011149243,-0.028719392,0.049494265,0.008431828,-0.034803113,0.017285388,0.007761091,-0.019001261,0.047916489,0.031410613,0.011534404,0.019759554,-0.009026936,0.002573269,0.000881221,-0.001925772,0.000291224,0.000944322,0.000210296,0.001463069,-0.000220502,5.86E-05
O3H,0.127590447,-0.131578349,-0.039926133,-0.060129986,-0.108910019,-0.028930496,-0.080892699,-0.044872644,0.021153368,-0.000789281,-0.012867504,-0.028610877,0.009125289,-0.013787459,0.006814249,-0.001192875,0.011872018,0.007586514,0.003232709,-0.007804293,-0.00231677,0.0021013,-0.000590053,0.001450752,0.000333119,0.000274122
O3I,0.383299111,-0.007379821,-0.007195059,-0.005720465,-0.009910271,0.020469969,-0.007945082,0.015911154,0.003289682,-0.013259973,0.029890046,0.046807314,-0.00378983,-0.005106792,0.006583577,-0.009992638,0.011977357,-0.015686374,0.012397025,0.005378571,-0.006315436,-0.000437517,0.003927744,0.00156313,0.001575655,0.001457327
O4A,0.381709507,-0.00833689,-0.020366062,-0.042491755,-0.049654922,0.004728367,-0.000534322,-0.002586666,-0.039916153,-0.023530026,0.014221672,-0.032093034,-0.007345627,-0.007533027,0.001089571,0.01522205,-0.005127115,-0.003254655,0.008638765,0.011570089,-0.007488294,0.000195206,0.002207628,0.001150059,-0.000391,-4.50E-05
O4B,0.163995988,-0.11713356,0.013435448,-0.039357674,-0.139850837,0.014348796,-0.031590358,0.001590807,0.006675285,0.018788438,-0.004980576,-0.012688052,0.059805023,-0.008112768,0.000629351,-0.00871176,-0.001713506,-0.003311224,-0.009339855,0.007579913,0.000493449,-0.001864894,0.000516553,-0.001388278,-0.000251162,-0.000345066
O4C,0.381794791,0.003338465,0.033131557,0.042078096,0.044626143,-0.02049364,0.004157523,0.022611449,0.037754107,-0.019125841,0.003377075,-0.01428357,0.006571524,0.004350165,-0.008129308,-0.011020422,-0.002052396,-0.00335382,-0.006124852,-0.001385487,-0.008278536,-0.00360853,0.002285219,-0.004392373,0.00130788,-0.000276312
O4D,0.381685707,0.004119122,0.03332202,0.042026232,0.043344535,-0.022282916,0.004245213,0.018840128,0.027837709,-0.019777098,-0.001029545,-0.021944413,0.010009016,-0.007303856,0.002043268,0.006750129,-0.00926308,0.000728817,0.009466826,-0.006578001,0.000953411,-0.003161265,-0.003207767,-0.002607199,-0.003171923,-0.000622283
O4E,0.382504585,-0.009510206,-0.023319659,-0.045196055,-0.049217952,0.006835576,-0.000632831,0.005631495,-0.024061146,-0.024802846,0.006910977,-0.024535232,0.001801879,0.009304214,-4.74E-05,-0.001561661,-0.002239894,0.006920823,0.012056493,-0.00791428,0.010136387,-0.002769415,-0.001900598,-0.001607754,-2.67E-06,0.001044473
O4F,0.372085543,0.007906505,0.046543279,0.087018598,0.072117743,0.031315911,-0.005723345,-0.040746862,-0.013104219,0.074809124,-0.049093502,0.023395336,-0.01572789,0.015328333,-0.018749428,-0.005217055,0.004161316,0.00542319,-0.000844206,-1.57E-05,-0.000779508,0.000184556,0.001377208,0.000971396,-0.001013875,2.04E-05
O4G,0.366596254,0.08382336,0.005049013,0.029091687,0.007360664,-0.003140889,0.023523761,-0.006196645,0.100857706,0.049165156,-0.023292352,0.02008434,0.003309139,0.028813299,0.023257277,0.015377162,-0.000486387,-0.009938974,0.003709065,-0.002339577,0.000297496,0.000550523,0.001935174,0.001078043,-0.00030406,-0.000206686
O4H,0.281235777,-0.045060109,-0.006777618,0.004677219,0.077414898,0.032926921,0.055332099,0.021439323,0.040787077,0.036935886,-0.072866461,-0.035093246,0.02599405,-0.036571428,0.001198429,-0.002025749,0.011673072,-0.015578012,-0.004217729,-0.003028535,0.002488764,-2.01E-05,0.000174824,-0.000276441,0.000263824,0.000166807
O4I,0.383376723,-0.010539909,-0.021444445,-0.040348414,-0.043968411,0.010761229,0.000309496,0.00520141,-0.015116674,-0.013004769,0.013363227,-0.007606883,0.00271499,0.016623406,-0.011606272,-0.004983208,0.002339443,-0.009536881,-0.006091325,-0.004600886,-0.010655948,0.004105849,-0.009387631,-0.000685359,0.002548194,5.02E-05
